id;name;affaire;client;parc;adresse_installation;status;created;modifier
1;Outdoors plum;Krona moderator GB;Games;Compatible white;Romania applications;Focused withdrawal Rustic;2022-01-17;2022-01-16
2;generate line paradigms;bypass;Assistant Port algorithm;object-oriented pixel Dam;Digitized;Small;2022-01-17;2022-01-17
3;programming;transition;interface Awesome black;infrastructures quantifying;Car FTP;engine;2022-01-17;2022-01-16
4;Home Customer-focused Vermont;array Alaska deposit;withdrawal Bahrain;Fish target Computers;Frozen Phased teal;function;2022-01-16;2022-01-17
5;Dollar;Bedfordshire Music Mountains;logistical South leading-edge;content;Buckinghamshire synthesizing adapter;Interactions engineer;2022-01-16;2022-01-17
6;Account;Direct Handmade bypass;Reduced generate;Music;Kids panel;Somoni Sleek;2022-01-17;2022-01-16
7;ADP Home Optimization;Carolina Martin Usability;Identity disintermediate Bike;Islands;cutting-edge Garden program;hardware Car Cambridgeshire;2022-01-17;2022-01-17
8;matrix;methodologies exploit;Wisconsin;payment;Garden;multi-byte Market;2022-01-16;2022-01-17
9;Pizza;Division;communities purple;cross-media;enable Salad administration;24/7 Washington 24/365;2022-01-16;2022-01-16
10;gold Soft Leu;Hill Corporate Unions;Bedfordshire;Rubber Markets User-friendly;cross-platform secondary lavender;firewall deliverables program;2022-01-16;2022-01-16
