id;name;label;element_name;element_path;etape_definition_id;bloc_definition_id;display;jhi_order
1;olive Reunion;District;User-friendly intranet Mouse;Infrastructure neural;redundant;Ecuador Fish frictionless;true;84447
2;fuchsia Square indigo;payment sticky violet;state THX;Buckinghamshire Specialist;Sleek Course back;SCSI Well;true;69719
3;toolset Tenge Alaska;Handmade;Producer;Operations;Global;action-items;false;86398
4;transparent Montana;cross-platform Money Division;Facilitator Granite;synthesize;GB virtual;compress Granite;false;96097
5;Data framework monetize;Money;interface transmit function;capacitor Switchable users;system generating;facilitate Intelligent;true;57724
6;Manager Switchable Account;Avon Producer Cambridgeshire;overriding USB deposit;feed;bleeding-edge;infomediaries invoice Integrated;false;81935
7;portals Markets;Island purple;Frozen Incredible services;Representative;supply-chains;Lithuania JBOD Granite;false;32676
8;bypass matrix;invoice streamline;online Loan;integrate Diverse;Concrete solid;Producer haptic Vermont;true;44506
9;Islands;Rustic;Account Applications Principal;Account;motivating Markets;Movies Shoes architectures;true;7901
10;Infrastructure;haptic Regional;optimizing Rubber Configurable;AI Brook background;Tasty Solutions Buckinghamshire;Maine;true;70081
